kind,offset,length,width_px,height_px,file,note
font-atlas,0x029011,18432,384,384,fonts/latin_atlas_00.png,U+0001..U+0400
font-atlas,0x02d811,17478,384,372,fonts/latin_atlas_01.png,U+0401..U+07CB
font-atlas,0x0339b0,18432,384,384,fonts/cjk_atlas_00.png,U+4E00..U+5E74
font-atlas,0x0381b0,18432,384,384,fonts/cjk_atlas_01.png,U+5E76..U+70C3
font-atlas,0x03c9b0,18432,384,384,fonts/cjk_atlas_02.png,U+70C8..U+8BAE
font-atlas,0x0411b0,12312,384,264,fonts/cjk_atlas_03.png,U+8BAF..U+9F9F
font-header,0x029011,35910,12,12,fonts/font_latin.h,U+0001..U+07CB
font-header,0x0339b0,67608,12,12,fonts/font_cjk.h,3756 CJK glyphs
strings,0x044200,3744,0,0,strings/lang0.txt,78 slots used
strings,0x0450a0,3744,0,0,strings/lang1.txt,78 slots used
strings,0x045f40,3744,0,0,strings/lang2.txt,78 slots used
strings,0x046de0,3744,0,0,strings/lang3.txt,78 slots used
strings,0x047c80,3744,0,0,strings/lang4.txt,78 slots used
strings,0x048b20,3744,0,0,strings/lang5.txt,78 slots used
strings,0x0499c0,3744,0,0,strings/lang6.txt,39 slots used
graphic,0x04a828,22,8,12,graphics/gfx_000000_8x12_1bpp.png,found by chaining
graphic-header,0x04a828,22,8,12,headers/gfx_000000_8x12_1bpp.h,found by chaining
graphic,0x04a83e,178,56,24,graphics/gfx_000016_56x24_1bpp.png,found by chaining
graphic-header,0x04a83e,178,56,24,headers/gfx_000016_56x24_1bpp.h,found by chaining
graphic,0x04a8f0,178,56,24,graphics/gfx_0000c8_56x24_1bpp.png,found by chaining
graphic-header,0x04a8f0,178,56,24,headers/gfx_0000c8_56x24_1bpp.h,found by chaining
graphic,0x04a9a2,178,56,24,graphics/gfx_00017a_56x24_1bpp.png,found by chaining
graphic-header,0x04a9a2,178,56,24,headers/gfx_00017a_56x24_1bpp.h,found by chaining
graphic,0x04aa54,178,56,24,graphics/gfx_00022c_56x24_1bpp.png,found by chaining
graphic-header,0x04aa54,178,56,24,headers/gfx_00022c_56x24_1bpp.h,found by chaining
graphic,0x04ab06,178,56,24,graphics/gfx_0002de_56x24_1bpp.png,found by chaining
graphic-header,0x04ab06,178,56,24,headers/gfx_0002de_56x24_1bpp.h,found by chaining
